cohort_week,activity_week,retained_users
201347,201429,8
201347,201430,7
201347,201431,9
201347,201432,11
201347,201433,6
201347,201434,9
201347,201435,5
201348,201418,7
201348,201419,4
201348,201420,5
201348,201421,9
201348,201422,8
201348,201423,13
201348,201424,14
201348,201425,10
201348,201426,12
201348,201427,14
201348,201428,12
201348,201429,12
201348,201430,12
201348,201431,11
201348,201432,10
201348,201433,7
201348,201434,6
201348,201435,7
201349,201418,2
201349,201419,10
201349,201420,11
201349,201421,11
201349,201422,13
201349,201423,7
201349,201424,15
201349,201425,14
201349,201426,12
201349,201427,12
201349,201428,10
201349,201429,9
201349,201430,15
201349,201431,13
201349,201432,5
201349,201433,5
201349,201434,5
201350,201418,6
201350,201419,10
201350,201420,10
201350,201421,15
201350,201422,12
201350,201423,11
201350,201424,11
201350,201425,16
201350,201426,15
201350,201427,9
201350,201428,12
201350,201429,11
201350,201430,11
201350,201431,12
201350,201432,8
201350,201433,8
201350,201434,5
201350,201435,6
201351,201418,6
201351,201419,17
201351,201420,17
201351,201421,15
201351,201422,12
201351,201423,13
201351,201424,14
201351,201425,18
201351,201426,13
201351,201427,11
201351,201428,10
201351,201429,11
201351,201430,11
201351,201431,9
201351,201432,12
201351,201433,10
201351,201434,5
201351,201435,5
201352,201418,2
201352,201419,8
201352,201420,5
201352,201421,6
201352,201422,9
201352,201423,9
201352,201424,10
201352,201425,7
201352,201426,11
201352,201427,7
201352,201428,6
201352,201429,6
201352,201430,5
201352,201431,4
201352,201432,3
201352,201433,4
201352,201434,4
201352,201435,5
201401,201418,7
201401,201419,14
201401,201420,23
201401,201421,18
201401,201422,15
201401,201423,15
201401,201424,14
201401,201425,17
201401,201426,13
201401,201427,17
201401,201428,14
201401,201429,12
201401,201430,12
201401,201431,14
201401,201432,12
201401,201433,13
201401,201434,7
201401,201435,6
201402,201418,4
201402,201419,10
201402,201420,11
201402,201421,12
201402,201422,16
201402,201423,8
201402,201424,11
201402,201425,12
201402,201426,8
201402,201427,11
201402,201428,16
201402,201429,12
201402,201430,10
201402,201431,7
201402,201432,12
201402,201433,8
201402,201434,6
201402,201435,3
201403,201418,5
201403,201419,15
201403,201420,16
201403,201421,15
201403,201422,14
201403,201423,16
201403,201424,20
201403,201425,16
201403,201426,18
201403,201427,17
201403,201428,18
201403,201429,14
201403,201430,12
201403,201431,10
201403,201432,15
201403,201433,14
201403,201434,14
201403,201435,12
201404,201418,8
201404,201419,8
201404,201420,12
201404,201421,16
201404,201422,17
201404,201423,16
201404,201424,13
201404,201425,10
201404,201426,7
201404,201427,9
201404,201428,10
201404,201429,9
201404,201430,10
201404,201431,11
201404,201432,9
201404,201433,5
201404,201434,7
201404,201435,8
201405,201418,9
201405,201419,21
201405,201420,15
201405,201421,16
201405,201422,13
201405,201423,16
201405,201424,17
201405,201425,15
201405,201426,12
201405,201427,16
201405,201428,14
201405,201429,12
201405,201430,12
201405,201431,17
201405,201432,11
201405,201433,12
201405,201434,13
201405,201435,11
201406,201418,17
201406,201419,22
201406,201420,17
201406,201421,19
201406,201422,13
201406,201423,15
201406,201424,19
201406,201425,17
201406,201426,23
201406,201427,20
201406,201428,17
201406,201429,17
201406,201430,11
201406,201431,13
201406,201432,14
201406,201433,9
201406,201434,14
201406,201435,11
201407,201418,10
201407,201419,12
201407,201420,15
201407,201421,16
201407,201422,19
201407,201423,18
201407,201424,20
201407,201425,16
201407,201426,16
201407,201427,15
201407,201428,15
201407,201429,12
201407,201430,9
201407,201431,15
201407,201432,15
201407,201433,12
201407,201434,12
201407,201435,10
201408,201418,12
201408,201419,16
201408,201420,7
201408,201421,15
201408,201422,11
201408,201423,15
201408,201424,13
201408,201425,11
201408,201426,13
201408,201427,16
201408,201428,16
201408,201429,18
201408,201430,16
201408,201431,13
201408,201432,13
201408,201433,11
201408,201434,11
201408,201435,12
201409,201418,10
201409,201419,14
201409,201420,11
201409,201421,9
201409,201422,10
201409,201423,15
201409,201424,15
201409,201425,13
201409,201426,15
201409,201427,13
201409,201428,9
201409,201429,10
201409,201430,14
201409,201431,11
201409,201432,16
201409,201433,9
201409,201434,12
201409,201435,12
201410,201418,10
201410,201419,19
201410,201420,18
201410,201421,15
201410,201422,17
201410,201423,9
201410,201424,12
201410,201425,12
201410,201426,9
201410,201427,15
201410,201428,18
201410,201429,16
201410,201430,18
201410,201431,13
201410,201432,10
201410,201433,7
201410,201434,8
201410,201435,9
201411,201418,12
201411,201419,20
201411,201420,19
201411,201421,16
201411,201422,14
201411,201423,16
201411,201424,20
201411,201425,13
201411,201426,14
201411,201427,12
201411,201428,17
201411,201429,17
201411,201430,17
201411,201431,13
201411,201432,12
201411,201433,10
201411,201434,5
201411,201435,11
201412,201418,14
201412,201419,23
201412,201420,26
201412,201421,25
201412,201422,23
201412,201423,16
201412,201424,16
201412,201425,14
201412,201426,16
201412,201427,13
201412,201428,12
201412,201429,13
201412,201430,18
201412,201431,23
201412,201432,20
201412,201433,19
201412,201434,14
201412,201435,11
201413,201418,20
201413,201419,25
201413,201420,23
201413,201421,22
201413,201422,25
201413,201423,23
201413,201424,21
201413,201425,17
201413,201426,22
201413,201427,19
201413,201428,19
201413,201429,19
201413,201430,18
201413,201431,19
201413,201432,20
201413,201433,13
201413,201434,14
201413,201435,12
201414,201418,36
201414,201419,26
201414,201420,25
201414,201421,21
201414,201422,21
201414,201423,18
201414,201424,20
201414,201425,18
201414,201426,19
201414,201427,14
201414,201428,20
201414,201429,22
201414,201430,18
201414,201431,22
201414,201432,19
201414,201433,16
201414,201434,14
201414,201435,12
201415,201418,25
201415,201419,35
201415,201420,26
201415,201421,32
201415,201422,25
201415,201423,26
201415,201424,19
201415,201425,22
201415,201426,18
201415,201427,21
201415,201428,20
201415,201429,17
201415,201430,23
201415,201431,31
201415,201432,20
201415,201433,13
201415,201434,18
201415,201435,18
201416,201418,53
201416,201419,55
201416,201420,40
201416,201421,32
201416,201422,24
201416,201423,17
201416,201424,14
201416,201425,17
201416,201426,17
201416,201427,15
201416,201428,17
201416,201429,15
201416,201430,17
201416,201431,17
201416,201432,11
201416,201433,9
201416,201434,11
201416,201435,10
201417,201418,56
201417,201419,69
201417,201420,47
201417,201421,33
201417,201422,25
201417,201423,17
201417,201424,17
201417,201425,6
201417,201426,14
201417,201427,15
201417,201428,16
201417,201429,15
201417,201430,16
201417,201431,16
201417,201432,12
201417,201433,14
201417,201434,8
201417,201435,5
201418,201418,159
201418,201419,118
201418,201420,66
201418,201421,45
201418,201422,30
201418,201423,32
201418,201424,26
201418,201425,21
201418,201426,20
201418,201427,21
201418,201428,19
201418,201429,20
201418,201430,18
201418,201431,20
201418,201432,23
201418,201433,17
201418,201434,12
201418,201435,10
201419,201419,160
201419,201420,104
201419,201421,67
201419,201422,45
201419,201423,34
201419,201424,22
201419,201425,18
201419,201426,24
201419,201427,11
201419,201428,17
201419,201429,12
201419,201430,11
201419,201431,14
201419,201432,10
201419,201433,9
201419,201434,9
201419,201435,4
201420,201420,186
201420,201421,144
201420,201422,77
201420,201423,64
201420,201424,40
201420,201425,26
201420,201426,20
201420,201427,19
201420,201428,23
201420,201429,18
201420,201430,15
201420,201431,15
201420,201432,13
201420,201433,11
201420,201434,8
201420,201435,10
201421,201421,177
201421,201422,121
201421,201423,79
201421,201424,50
201421,201425,40
201421,201426,28
201421,201427,21
201421,201428,32
201421,201429,23
201421,201430,23
201421,201431,23
201421,201432,18
201421,201433,18
201421,201434,10
201421,201435,9
201422,201422,186
201422,201423,117
201422,201424,78
201422,201425,53
201422,201426,34
201422,201427,24
201422,201428,33
201422,201429,30
201422,201430,18
201422,201431,18
201422,201432,13
201422,201433,14
201422,201434,15
201422,201435,9
201423,201423,197
201423,201424,133
201423,201425,83
201423,201426,60
201423,201427,49
201423,201428,42
201423,201429,29
201423,201430,25
201423,201431,26
201423,201432,17
201423,201433,17
201423,201434,12
201423,201435,7
201424,201424,198
201424,201425,146
201424,201426,85
201424,201427,56
201424,201428,44
201424,201429,41
201424,201430,34
201424,201431,28
201424,201432,22
201424,201433,21
201424,201434,14
201424,201435,10
201425,201425,222
201425,201426,135
201425,201427,89
201425,201428,57
201425,201429,41
201425,201430,31
201425,201431,28
201425,201432,25
201425,201433,15
201425,201434,17
201425,201435,12
201426,201426,210
201426,201427,151
201426,201428,100
201426,201429,62
201426,201430,44
201426,201431,30
201426,201432,24
201426,201433,19
201426,201434,15
201426,201435,15
201427,201427,199
201427,201428,130
201427,201429,82
201427,201430,60
201427,201431,43
201427,201432,34
201427,201433,33
201427,201434,26
201427,201435,14
201428,201428,223
201428,201429,152
201428,201430,95
201428,201431,83
201428,201432,52
201428,201433,39
201428,201434,26
201428,201435,23
201429,201429,215
201429,201430,144
201429,201431,91
201429,201432,52
201429,201433,33
201429,201434,19
201429,201435,20
201430,201430,228
201430,201431,156
201430,201432,82
201430,201433,59
201430,201434,40
201430,201435,31
201431,201431,234
201431,201432,154
201431,201433,94
201431,201434,64
201431,201435,47
201432,201432,189
201432,201433,126
201432,201434,69
201432,201435,48
201433,201433,250
201433,201434,163
201433,201435,82
201434,201434,259
201434,201435,173
201435,201435,266
